Lrhomboides-Gene-Name,Percent-Identity,E-value,Bit-Score,Query-Coverage-Percent,Match-Ensembl-ID,Gene-Name,Gene-Description
Lrhomboides00002734,91.556,0,837,100,ENSSAUG00010025348,polg2,DNA polymerase gamma 2; accessory subunit [Source:NCBI gene;Acc:115583608]
Lrhomboides00002735,99.371,0,1299,100,ENSSAUG00010025034,DDX5,probable ATP-dependent RNA helicase DDX5 [Source:NCBI gene;Acc:115583584]
Lrhomboides00002741,85.831,0,2048,77,ENSSAUG00010021322,myh9a,myosin-9-like [Source:NCBI gene;Acc:115582708]
Lrhomboides00002742,93.64,0,866,95,ENSSAUG00010021200,map2k7,mitogen-activated protein kinase kinase 7 [Source:ZFIN;Acc:ZDB-GENE-090312-186]
Lrhomboides00002743,99.354,0,1912,97,ENSSAUG00010013567,pkn1a,protein kinase N1 [Source:NCBI gene;Acc:115586049]
Lrhomboides00002744,92.453,0,580,53,ENSSAUG00010013495,si:ch211-214c7.5,chromosome 1 C19orf67 homolog [Source:NCBI gene;Acc:115580595]
Lrhomboides00002745,93.307,0,2175,100,ENSSAUG00010013494,,uncharacterized LOC115580590 [Source:NCBI gene;Acc:115580590]
Lrhomboides00002746,89.304,0,1076,100,ENSSAUG00010012221,mcoln1a,mucolipin-1-like [Source:NCBI gene;Acc:115582382]
Lrhomboides00002747,98.936,1.72E-137,382,100,ENSSAUG00010012187,trappc5,trafficking protein particle complex 5 [Source:NCBI gene;Acc:115582409]
Lrhomboides00002748,87.785,0,868,100,ENSSAUG00010012173,pglyrp2,N-acetylmuramoyl-L-alanine amidase-like [Source:NCBI gene;Acc:115582391]
Lrhomboides00002749,87.153,0,509,100,ENSSAUG00010012168,,lysozyme g-like [Source:NCBI gene;Acc:115582400]
Lrhomboides00002752,99.178,0,1739,100,ENSSAUG00010010633,EVI5L,EVI5-like protein [Source:NCBI gene;Acc:115585207]
Lrhomboides00002753,99.063,0,879,78,ENSSAUG00010010316,DDX39A,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]
Lrhomboides00002754,97.074,0,751,99,ENSSAUG00010010312,,CCN family member 1-like [Source:NCBI gene;Acc:115588670]
Lrhomboides00002755,94.958,0,939,98,ENSSAUG00010010299,MGAT5B,alpha-1;6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B-like [Source:NCBI gene;Acc:115591062]
Lrhomboides00002757,97.884,0,764,90,ENSSAUG00010010227,PRPSAP1,phosphoribosyl pyrophosphate synthase-associated protein 1-like [Source:NCBI gene;Acc:115589635]
Lrhomboides00002759,91.304,1.10E-53,166,90,ENSSAUG00010010223,,bMERB domain-containing protein 1-like [Source:NCBI gene;Acc:115592649]
Lrhomboides00002760,94.956,0,1511,100,ENSSAUG00010010222,PIK3R6,phosphoinositide 3-kinase regulatory subunit 6-like [Source:NCBI gene;Acc:115592667]
Lrhomboides00002761,96.507,0,1067,99,ENSSAUG00010010217,pik3r5,phosphoinositide-3-kinase regulatory subunit 5 [Source:NCBI gene;Acc:115592602]
Lrhomboides00002762,96.308,0,661,99,ENSSAUG00010010217,pik3r5,phosphoinositide-3-kinase regulatory subunit 5 [Source:NCBI gene;Acc:115592602]
Lrhomboides00002763,98.305,2.67E-124,351,97,ENSSAUG00010010212,stx8,syntaxin 8 [Source:NCBI gene;Acc:115592659]
Lrhomboides00002764,91.478,0,1418,100,ENSSAUG00010010205,,TBC1 domain family member 24-like [Source:NCBI gene;Acc:115593532]
Lrhomboides00002765,87.366,0,646,95,ENSSAUG00010010201,,
Lrhomboides00002766,93.366,0,1201,100,ENSSAUG00010010154,cfap52,cilia and flagella associated protein 52 [Source:NCBI gene;Acc:115596870]
Lrhomboides00002767,89.001,0,2177,100,ENSSAUG00010010137,usp43a,ubiquitin specific peptidase 43 [Source:NCBI gene;Acc:115581837]
Lrhomboides00002768,98.596,0,721,55,ENSSAUG00010010130,mchr1a,melanin-concentrating hormone receptor 1-like [Source:NCBI gene;Acc:115581842]
Lrhomboides00002770,90.519,0,1288,100,ENSSAUG00010010091,gga3a,ADP-ribosylation factor-binding protein GGA3-like [Source:NCBI gene;Acc:115590148]
Lrhomboides00002771,98.876,2.29E-62,185,100,ENSSAUG00010010057,,small ubiquitin-related modifier 2 [Source:NCBI gene;Acc:115586487]
Lrhomboides00002772,98.026,1.79E-103,293,100,ENSSAUG00010010050,jpt1a,jupiter microtubule associated homolog 1-like [Source:NCBI gene;Acc:115586480]
Lrhomboides00002773,80.912,0,578,100,ENSSAUG00010010037,,uncharacterized LOC115570214 [Source:NCBI gene;Acc:115570214]
Lrhomboides00002775,83.946,0,503,96,ENSSAUG00010010037,,uncharacterized LOC115570214 [Source:NCBI gene;Acc:115570214]
Lrhomboides00002777,98.892,0,754,100,ENSSAUG00010010017,sept9b,septin-9-like [Source:NCBI gene;Acc:115585593]
Lrhomboides00002778,96.725,0,3118,87,ENSSAUG00010010009,tnrc6c2,trinucleotide repeat containing adaptor 6C2 [Source:ZFIN;Acc:ZDB-GENE-061207-48]
Lrhomboides00002780,80.525,0,602,100,ENSSAUG00010010002,znf207b,BUB3-interacting and GLEBS motif-containing protein ZNF207-like [Source:NCBI gene;Acc:115580931]
Lrhomboides00002781,99.444,0,737,99,ENSSAUG00010009996,rhbdl3,rhomboid like 3 [Source:NCBI gene;Acc:115590827]
Lrhomboides00002783,99.242,0,1374,100,ENSSAUG00010007761,rhot1b,mitochondrial Rho GTPase 1-A-like [Source:NCBI gene;Acc:115580863]
Lrhomboides00002784,90.027,0,702,100,ENSSAUG00010007671,ADAP2,ArfGAP with dual PH domains 2 [Source:NCBI gene;Acc:115580874]
Lrhomboides00002785,94.638,0,725,99,ENSSAUG00010007670,tefm,transcription elongation factor; mitochondrial [Source:NCBI gene;Acc:115580899]
Lrhomboides00002786,82.37,0,1711,100,ENSSAUG00010007668,atad5b,ATPase family AAA domain-containing protein 5-like [Source:NCBI gene;Acc:115580853]
Lrhomboides00002787,97.274,0,1415,100,ENSSAUG00010005716,suz12b,SUZ12 polycomb repressive complex 2 subunit [Source:NCBI gene;Acc:115585618]
Lrhomboides00002788,92.269,0,1116,100,ENSSAUG00010003949,utp6,UTP6 small subunit processome component [Source:ZFIN;Acc:ZDB-GENE-040426-769]
Lrhomboides00002790,98.205,0,1110,100,ENSSAUG00010003901,rab11fip4b,RAB11 family interacting protein 4 (class II) b [Source:NCBI gene;Acc:100151129]
Lrhomboides00002792,92.5,7.75E-47,158,100,ENSSAUG00010003901,rab11fip4b,RAB11 family interacting protein 4 (class II) b [Source:NCBI gene;Acc:100151129]
Lrhomboides00002793,92.429,0,1518,100,ENSSAUG00010003893,,
Lrhomboides00002796,89.218,0,722,100,ENSSAUG00010003874,palm3,paralemmin-1-like [Source:NCBI gene;Acc:115591553]
Lrhomboides00002797,97.391,2.62E-163,457,88,ENSSAUG00010003869,,phospholipid phosphatase-related protein type 5-like [Source:NCBI gene;Acc:115590316]
Lrhomboides00002799,90.455,4.47E-134,377,100,ENSSAUG00010003834,pld6,phospholipase D family member 6 [Source:NCBI gene;Acc:115580281]
Lrhomboides00002800,99.548,6.51E-166,457,100,ENSSAUG00010003832,,ras-related protein Rab-3D-like [Source:NCBI gene;Acc:115580274]
Lrhomboides00002801,85.425,4.33E-156,434,100,ENSSAUG00010003831,tspan34,tetraspanin-1-like [Source:NCBI gene;Acc:115580268]
Lrhomboides00002802,84.252,9.27E-153,426,99,ENSSAUG00010003827,dand5,DAN domain family member 5-like [Source:NCBI gene;Acc:115580265]
Lrhomboides00002803,100,0,636,100,ENSSAUG00010003122,,nuclear factor 1 X-type-like [Source:NCBI gene;Acc:115580196]
Lrhomboides00002805,97.959,5.96E-107,302,100,ENSSAUG00010003075,rnf11a,RING finger protein 11-like [Source:NCBI gene;Acc:115591936]
Lrhomboides00002806,96.774,0,561,100,ENSSAUG00010003067,HMOX1,heme oxygenase-like [Source:NCBI gene;Acc:115588483]
Lrhomboides00002807,93.789,0,1710,81,ENSSAUG00010003063,,uncharacterized LOC115588455 [Source:NCBI gene;Acc:115588455]
Lrhomboides00002808,95.011,0,711,100,ENSSAUG00010003057,,T-cell acute lymphocytic leukemia protein 1 homolog [Source:NCBI gene;Acc:115590807]
Lrhomboides00002809,89.175,0,718,98,ENSSAUG00010003053,NEU3,sialidase-3-like [Source:NCBI gene;Acc:115597465]
Lrhomboides00002810,86.4,2.76E-72,225,58,ENSSAUG00010003053,NEU3,sialidase-3-like [Source:NCBI gene;Acc:115597465]
Lrhomboides00002811,88.701,0,937,100,ENSSAUG00010003043,,zinc finger GATA like protein 1 [Source:NCBI gene;Acc:115579129]
Lrhomboides00002812,97.959,8.20E-145,402,100,ENSSAUG00010003033,fdx2,ferredoxin 2 [Source:NCBI gene;Acc:115580071]
Lrhomboides00002813,98.72,0,1299,97,ENSSAUG00010003018,keap1b,kelch like ECH associated protein 1 [Source:NCBI gene;Acc:115582665]
Lrhomboides00002814,97.407,0,1619,97,ENSSAUG00010003007,si:zfos-323e3.4,volume-regulated anion channel subunit LRRC8C-like [Source:NCBI gene;Acc:115595622]
Lrhomboides00002815,100,7.09E-120,336,100,ENSSAUG00010002999,cdkn2d,cyclin dependent kinase inhibitor 2D [Source:NCBI gene;Acc:115591016]
Lrhomboides00002816,99.519,0,855,95,ENSSAUG00010025874,ap1m2,adaptor related protein complex 1 subunit mu 2 [Source:NCBI gene;Acc:115590070]
Lrhomboides00002817,89.359,0,1541,100,ENSSAUG00010025464,ldlrb,low-density lipoprotein receptor-like [Source:NCBI gene;Acc:115590363]
Lrhomboides00002818,87.9,0,2406,96,ENSSAUG00010025426,SMARCA4,SWI/SNF related; matrix associated; actin dependent regulator of chromatin; subfamily a; member 4 [Source:HGNC Symbol;Acc:HGNC:11100]
Lrhomboides00002819,98.592,0,1018,100,ENSSAUG00010025418,atg4da,autophagy related 4D; cysteine peptidase a [Source:ZFIN;Acc:ZDB-GENE-041111-102]
Lrhomboides00002820,90.914,0,3040,97,ENSSAUG00010025373,mast1a,microtubule associated serine/threonine kinase 1a [Source:ZFIN;Acc:ZDB-GENE-121214-221]
Lrhomboides00002821,96.753,0,622,100,ENSSAUG00010025366,rnaseh2a,ribonuclease H2 subunit A [Source:NCBI gene;Acc:115565780]
Lrhomboides00002822,98.218,0,996,100,ENSSAUG00010025364,SOX10,transcription factor Sox-10-like [Source:NCBI gene;Acc:115591783]
Lrhomboides00002823,98.263,0,1065,95,ENSSAUG00010025363,KCNJ4,ATP-sensitive inward rectifier potassium channel 12-like [Source:NCBI gene;Acc:115584807]
Lrhomboides00002825,97.98,4.12E-66,195,100,ENSSAUG00010025359,smdt1b,essential MCU regulator; mitochondrial-like [Source:NCBI gene;Acc:115585982]
Lrhomboides00002826,98.606,0,563,68,ENSSAUG00010025358,zgc:158803,zgc:158803 [Source:ZFIN;Acc:ZDB-GENE-070424-15]
Lrhomboides00002827,98.913,2.00E-131,367,100,ENSSAUG00010025357,,centromere protein M [Source:NCBI gene;Acc:115590142]
Lrhomboides00002828,85.714,9.43E-91,261,100,ENSSAUG00010025356,mb,myoglobin [Source:NCBI gene;Acc:115581454]
Lrhomboides00002830,90.728,0,550,100,ENSSAUG00010025353,serhl,serine hydrolase-like protein [Source:NCBI gene;Acc:115581442]
Lrhomboides00002831,83.838,1.03E-55,176,94,ENSSAUG00010025352,serhl,serine hydrolase like [Source:NCBI gene;Acc:322648]
Lrhomboides00002832,75,4.76E-89,264,99,ENSSAUG00010025353,serhl,serine hydrolase-like protein [Source:NCBI gene;Acc:115581442]
Lrhomboides00002833,98.54,0,834,68,ENSSAUG00010025321,3-Sep,septin 3 [Source:NCBI gene;Acc:115584567]
Lrhomboides00002836,96.308,0,1892,54,ENSSAUG00010025176,grin2bb,glutamate receptor; ionotropic; N-methyl D-aspartate 2B; genome duplicate b [Source:ZFIN;Acc:ZDB-GENE-061207-27]
Lrhomboides00002837,95.789,1.38E-122,345,98,ENSSAUG00010025173,si:ch211-243a20.3,si:ch211-243a20.3 [Source:ZFIN;Acc:ZDB-GENE-061207-28]
Lrhomboides00002839,96.605,0,631,100,ENSSAUG00010025169,zgc:101679,zgc:101679 [Source:ZFIN;Acc:ZDB-GENE-041010-181]
Lrhomboides00002840,89.873,4.70E-101,288,99,ENSSAUG00010025166,emp1,epithelial membrane protein 2-like [Source:NCBI gene;Acc:115586385]
Lrhomboides00002841,81.305,0,1782,100,ENSSAUG00010025163,,uncharacterized LOC115578789 [Source:NCBI gene;Acc:115578789]
Lrhomboides00002842,99.65,0,575,87,ENSSAUG00010025161,rbfox2,RNA binding fox-1 homolog 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2464]
Lrhomboides00002843,93.333,7.57E-45,139,100,ENSSAUG00010025160,pde6ha,retinal cone rhodopsin-sensitive cGMP 3';5'-cyclic phosphodiesterase subunit gamma-like [Source:NCBI gene;Acc:115592101]
Lrhomboides00002844,96,6.61E-46,142,100,ENSSAUG00010025160,pde6ha,retinal cone rhodopsin-sensitive cGMP 3';5'-cyclic phosphodiesterase subunit gamma-like [Source:NCBI gene;Acc:115592101]
Lrhomboides00002846,92.917,5.19E-164,455,94,ENSSAUG00010025156,,endoplasmic reticulum protein 27 [Source:NCBI gene;Acc:115578832]
Lrhomboides00002849,96.759,0,1266,100,ENSSAUG00010025097,slc34a2a,sodium-dependent phosphate transport protein 2B-like [Source:NCBI gene;Acc:115592356]
Lrhomboides00002850,91.071,3.96E-151,424,86,ENSSAUG00010025088,,
Lrhomboides00002851,100,2.56E-123,345,100,ENSSAUG00010025084,chic2,cysteine rich hydrophobic domain 2 [Source:NCBI gene;Acc:115582491]
Lrhomboides00002855,97.793,0,1166,100,ENSSAUG00010025079,fip1l1b,pre-mRNA 3'-end-processing factor FIP1-like [Source:NCBI gene;Acc:115589423]
Lrhomboides00002856,92.449,0,1023,72,ENSSAUG00010025076,kitb,KIT proto-oncogene; receptor tyrosine kinase b [Source:ZFIN;Acc:ZDB-GENE-050916-2]
Lrhomboides00002857,93.632,0,1569,99,ENSSAUG00010025019,clockb,clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]
Lrhomboides00002858,97.884,7.20E-139,386,100,ENSSAUG00010025004,si:dkey-245p14.4,exocyst complex component 1 like [Source:NCBI gene;Acc:115580177]
Lrhomboides00002859,96.583,0,2357,100,ENSSAUG00010024993,smc2,structural maintenance of chromosomes 2 [Source:NCBI gene;Acc:115590717]
Lrhomboides00002860,98.804,0,3754,100,ENSSAUG00010024842,ecpas,Ecm29 proteasome adaptor and scaffold [Source:NCBI gene;Acc:115591714]
Lrhomboides00002861,96.671,0,3320,100,ENSSAUG00010024690,kdm4c,lysine-specific demethylase 4C-like [Source:NCBI gene;Acc:115591721]
Lrhomboides00002862,94.261,0,3620,99,ENSSAUG00010023740,PTPRD,protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]
Lrhomboides00002863,97.538,0,1080,100,ENSSAUG00010023675,tyrp1b,5;6-dihydroxyindole-2-carboxylic acid oxidase-like [Source:NCBI gene;Acc:115595434]
Lrhomboides00002865,94.374,0,2298,100,ENSSAUG00010021014,adgrl3.1,adhesion G protein-coupled receptor L3-like [Source:NCBI gene;Acc:115578856]
Lrhomboides00002866,97.909,0,570,100,ENSSAUG00010020988,gtf2e2,general transcription factor IIE subunit 2 [Source:NCBI gene;Acc:115580646]
Lrhomboides00002867,100,2.92E-68,202,66,ENSSAUG00010020991,SMIM18,small integral membrane protein 18 [Source:HGNC Symbol;Acc:HGNC:42973]
Lrhomboides00002868,86.087,1.96E-142,398,100,ENSSAUG00010020983,DCTN6,dynactin subunit 6-like [Source:NCBI gene;Acc:115580661]
Lrhomboides00002869,94.962,0,1256,98,ENSSAUG00010020981,hgsnat,heparan-alpha-glucosaminide N-acetyltransferase-like [Source:NCBI gene;Acc:115580631]
Lrhomboides00002870,96.266,0,964,97,ENSSAUG00010020951,rbpja,recombination signal binding protein for immunoglobulin kappa J region a [Source:ZFIN;Acc:ZDB-GENE-031117-1]
Lrhomboides00002871,92.217,0,1834,99,ENSSAUG00010020885,STIM2,stromal interaction molecule 2-like [Source:NCBI gene;Acc:115593238]
Lrhomboides00002874,99.113,0,2251,99,ENSSAUG00010020879,pcdh7a,protocadherin-7-like [Source:NCBI gene;Acc:115580906]
Lrhomboides00002875,97.914,0,1459,96,ENSSAUG00010020754,crmp1,dihydropyrimidinase-related protein 1-like [Source:NCBI gene;Acc:115578967]
Lrhomboides00002876,80.235,0,1335,80,ENSSAUG00010020749,wfs1a,Wolfram syndrome 1a (wolframin) [Source:ZFIN;Acc:ZDB-GENE-080225-11]
Lrhomboides00002877,100,0,943,100,ENSSAUG00010020748,ppp2r2ca,serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform-like [Source:NCBI gene;Acc:115578980]
Lrhomboides00002878,80.733,0,1326,92,ENSSAUG00010020746,,
Lrhomboides00002879,95.129,0,689,88,ENSSAUG00010020745,hpf1,histone PARylation factor 1 [Source:NCBI gene;Acc:100002184]
Lrhomboides00002881,90.751,0,4699,99,ENSSAUG00010010856,ank2a,ankyrin 2a; neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]
Lrhomboides00002882,94.143,0,900,72,ENSSAUG00010006026,camk2d2,calcium/calmodulin-dependent protein kinase type II delta 2 chain [Source:NCBI gene;Acc:115579668]
Lrhomboides00002883,91.852,1.15E-76,254,51,ENSSAUG00010010856,ank2a,ankyrin 2a; neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]
Lrhomboides00002884,78.646,0,1718,73,ENSSAUG00010010856,ank2a,ankyrin 2a; neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]
Lrhomboides00002885,90.323,1.80E-56,170,100,ENSSAUG00010005953,,
Lrhomboides00002886,95.082,8.13E-36,116,100,ENSSAUG00010005949,,C-X-C motif chemokine 6-like [Source:NCBI gene;Acc:115588555]
Lrhomboides00002887,98.776,0,1974,100,ENSSAUG00010005945,fbxo10,F-box protein 10 [Source:NCBI gene;Acc:115589723]
Lrhomboides00002888,88.688,0,763,100,ENSSAUG00010005942,polr1e,RNA polymerase I subunit E [Source:ZFIN;Acc:ZDB-GENE-050522-251]
Lrhomboides00002889,96.221,0,1442,100,ENSSAUG00010005938,ZBTB5,zinc finger and BTB domain containing 5 [Source:NCBI gene;Acc:115590477]
Lrhomboides00002890,94.536,0,701,100,ENSSAUG00010005932,grhprb,glyoxylate reductase/hydroxypyruvate reductase-like [Source:NCBI gene;Acc:115567362]
Lrhomboides00002891,93.88,0,1955,100,ENSSAUG00010004997,UBA6,ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]
Lrhomboides00002892,90.116,0,4887,100,ENSSAUG00010004084,polq,DNA polymerase theta [Source:NCBI gene;Acc:115581667]
Lrhomboides00002893,99.229,0,1620,100,ENSSAUG00010003715,ptpn9b,tyrosine-protein phosphatase non-receptor type 9-like [Source:NCBI gene;Acc:115589030]
Lrhomboides00002894,94.962,0,1281,89,ENSSAUG00010003691,adamtsl7,ADAMTS-like 7 [Source:ZFIN;Acc:ZDB-GENE-070816-2]
Lrhomboides00002895,96.199,0,1368,100,ENSSAUG00010003504,melk,maternal embryonic leucine zipper kinase [Source:NCBI gene;Acc:115578853]
Lrhomboides00002897,95.439,0,537,57,ENSSAUG00010003461,pax5,paired box 5 [Source:NCBI gene;Acc:115590891]
Lrhomboides00002898,95.973,0,1203,98,ENSSAUG00010001225,pgm2,phosphoglucomutase 2 [Source:NCBI gene;Acc:115591806]
Lrhomboides00002899,95.11,0,2280,99,ENSSAUG00010000772,tbc1d1,TBC1 domain family member 1 [Source:NCBI gene;Acc:115584600]
Lrhomboides00002900,92.373,0,636,100,ENSSAUG00010000730,klf3,Kruppel like factor 3 [Source:NCBI gene;Acc:115589901]
Lrhomboides00002901,87.109,0,736,99,ENSSAUG00010000720,fam114a1,family with sequence similarity 114 member A1 [Source:NCBI gene;Acc:115586579]
Lrhomboides00002903,87.231,0,1050,69,ENSSAUG00010000458,klhl5,kelch-like family member 5 [Source:ZFIN;Acc:ZDB-GENE-080424-7]
Lrhomboides00002904,95.174,0,2669,100,ENSSAUG00010000347,wdr19,WD repeat domain 19 [Source:NCBI gene;Acc:115584576]
Lrhomboides00002905,89.51,0,1899,95,ENSSAUG00010000312,rfc1,replication factor C subunit 1 [Source:NCBI gene;Acc:115584582]
Lrhomboides00002906,84.896,1.40E-113,321,100,ENSSAUG00010000290,rpl9,ribosomal protein L9 [Source:NCBI gene;Acc:115580626]
Lrhomboides00002907,97.686,0,791,100,ENSSAUG00010000171,lias,lipoic acid synthetase [Source:NCBI gene;Acc:115580616]
Lrhomboides00002908,99.395,0,1022,100,ENSSAUG00010000105,ugdh,UDP-glucose 6-dehydrogenase [Source:NCBI gene;Acc:115580601]
Lrhomboides00002909,93.711,0,1006,100,ENSSAUG00010000102,map9,microtubule associated protein 9 [Source:NCBI gene;Acc:115586072]
Lrhomboides00002910,98.095,1.31E-72,212,95,ENSSAUG00010000100,smim14,small integral membrane protein 14 [Source:NCBI gene;Acc:115589237]
Lrhomboides00002911,99,2.46E-148,411,100,ENSSAUG00010000099,UBE2K,ubiquitin-conjugating enzyme E2 K-like [Source:NCBI gene;Acc:115580699]
Lrhomboides00002912,97.269,0,2706,100,ENSSAUG00010000074,pds5a,PDS5 cohesin associated factor A [Source:NCBI gene;Acc:115580678]
Lrhomboides00002913,93.348,0,3277,100,ENSSAUG00010000043,n4bp2,NEDD4 binding protein 2 [Source:NCBI gene;Acc:115588066]
Lrhomboides00002914,96.733,0,1120,100,ENSSAUG00010000037,chrna9,neuronal acetylcholine receptor subunit alpha-9-I-like [Source:NCBI gene;Acc:115579413]
Lrhomboides00002915,91.667,0,967,100,ENSSAUG00010021021,,GTPase IMAP family member 4-like [Source:NCBI gene;Acc:115583955]
Lrhomboides00002917,88.511,1.97E-156,438,99,ENSSAUG00010021015,si:ch211-194p6.7,si:ch211-194p6.12 [Source:ZFIN;Acc:ZDB-GENE-160728-9]
Lrhomboides00002918,75.738,8.57E-165,460,99,ENSSAUG00010021015,si:ch211-194p6.7,si:ch211-194p6.12 [Source:ZFIN;Acc:ZDB-GENE-160728-9]
Lrhomboides00002919,93.694,0,2540,95,ENSSAUG00010019509,slit2,slit homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-010306-3]
Lrhomboides00002920,88.798,0,2914,71,ENSSAUG00010019433,,ligand dependent nuclear receptor corepressor like [Source:NCBI gene;Acc:115580131]
Lrhomboides00002921,94.499,0,1964,100,ENSSAUG00010019397,ncapg,non-SMC condensin I complex; subunit G [Source:ZFIN;Acc:ZDB-GENE-041111-282]
Lrhomboides00002922,93.854,0,2402,100,ENSSAUG00010019391,fam184b,trichohyalin-like [Source:NCBI gene;Acc:115580998]
Lrhomboides00002923,83.371,0,2156,100,ENSSAUG00010019388,si:dkeyp-26a9.2,histone H3 associated protein kinase [Source:NCBI gene;Acc:115581004]
Lrhomboides00002924,94.327,0,1729,98,ENSSAUG00010018997,apbb2b,amyloid beta precursor protein binding family B member 2 [Source:NCBI gene;Acc:115581311]
Lrhomboides00002926,98.206,0,1244,100,ENSSAUG00010018982,rbm47,RNA binding motif protein 47 [Source:NCBI gene;Acc:115583353]
Lrhomboides00002927,95.63,0,1511,100,ENSSAUG00010018980,si:ch211-113e8.10,E3 ubiquitin-protein ligase ZFP91-like [Source:NCBI gene;Acc:115580094]
Lrhomboides00002929,95.05,5.81E-130,365,100,ENSSAUG00010018978,,uncharacterized LOC115580108 [Source:NCBI gene;Acc:115580108]
Lrhomboides00002931,96.121,6.76E-165,455,100,ENSSAUG00010018976,ankrd49,ankyrin repeat domain 49 [Source:NCBI gene;Acc:115583556]
Lrhomboides00002932,94.311,0,850,100,ENSSAUG00010018974,GPR83,G protein-coupled receptor 83 [Source:NCBI gene;Acc:115571695]
Lrhomboides00002933,100,4.10E-76,221,100,ENSSAUG00010018970,cdk2ap2,cyclin dependent kinase 2 associated protein 2 [Source:NCBI gene;Acc:115582373]
Lrhomboides00002934,95.266,0,673,99,ENSSAUG00010018966,aip,aryl hydrocarbon receptor interacting protein [Source:NCBI gene;Acc:115582357]
Lrhomboides00002935,97.608,4.72E-153,424,100,ENSSAUG00010018962,tmem134,transmembrane protein 134 [Source:NCBI gene;Acc:115582367]
Lrhomboides00002936,90.301,0,1121,100,ENSSAUG00010018956,serping1,serpin family G member 1 [Source:NCBI gene;Acc:115592312]
Lrhomboides00002937,98.611,5.84E-46,152,100,ENSSAUG00010018953,doc2d,double C2-like domain-containing protein beta [Source:NCBI gene;Acc:115592322]
Lrhomboides00002938,98.524,0,563,100,ENSSAUG00010018953,doc2d,double C2-like domain-containing protein beta [Source:NCBI gene;Acc:115592322]
Lrhomboides00002939,99.296,2.11E-100,290,58,ENSSAUG00010018950,cabp4,calcium binding protein 4 [Source:ZFIN;Acc:ZDB-GENE-081104-291]
Lrhomboides00002940,86.602,0,1263,98,ENSSAUG00010018949,lonrf1l,LON peptidase N-terminal domain and ring finger 1; like [Source:ZFIN;Acc:ZDB-GENE-081104-397]
Lrhomboides00002941,98.01,0,2338,93,ENSSAUG00010018938,dlc1,rho GTPase-activating protein 7-like [Source:NCBI gene;Acc:115597083]
Lrhomboides00002942,84.663,0,1074,100,ENSSAUG00010018918,SLC44A1,choline transporter-like protein 1 [Source:NCBI gene;Acc:115597329]
Lrhomboides00002943,91.785,0,662,68,ENSSAUG00010018917,spock3,SPARC (osteonectin); cwcv and kazal like domains proteoglycan 3 [Source:ZFIN;Acc:ZDB-GENE-090311-24]
Lrhomboides00002944,98.179,0,1120,100,ENSSAUG00010018916,ugt8,UDP glycosyltransferase 8 [Source:NCBI gene;Acc:115585821]
Lrhomboides00002945,98.307,0,1805,99,ENSSAUG00010018887,ndst3,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4-like [Source:NCBI gene;Acc:115588383]
Lrhomboides00002946,96.897,0,1670,100,ENSSAUG00010018882,prss12,serine protease 12 [Source:NCBI gene;Acc:115591078]
Lrhomboides00002948,99.561,0,935,100,ENSSAUG00010018877,mettl14,methyltransferase like 14 [Source:NCBI gene;Acc:115591928]
Lrhomboides00002951,98.004,0,1014,100,ENSSAUG00010018863,adra1d,adrenoceptor alpha 1D [Source:NCBI gene;Acc:115591913]
Lrhomboides00002952,86.85,0,560,99,ENSSAUG00010018035,ctnna2,catenin alpha 2 [Source:NCBI gene;Acc:115579314]
Lrhomboides00002953,97.104,0,1025,87,ENSSAUG00010018035,ctnna2,catenin alpha 2 [Source:NCBI gene;Acc:115579314]
Lrhomboides00002954,91.131,0,590,100,ENSSAUG00010017983,suclg1,succinate-CoA ligase; alpha subunit [Source:ZFIN;Acc:ZDB-GENE-040912-101]
Lrhomboides00002955,100,5.36E-95,271,100,ENSSAUG00010017977,cisd2,CDGSH iron sulfur domain 2 [Source:NCBI gene;Acc:115586787]
Lrhomboides00002956,95.011,0,759,98,ENSSAUG00010017960,,sodium/hydrogen exchanger 9B2-like [Source:NCBI gene;Acc:115586769]
Lrhomboides00002957,98.776,0,500,84,ENSSAUG00010017950,bdh2,3-hydroxybutyrate dehydrogenase 2 [Source:NCBI gene;Acc:115585121]
Lrhomboides00002958,95.783,1.54E-116,337,96,ENSSAUG00010017918,tacr3a,tachykinin receptor 3 [Source:NCBI gene;Acc:115579883]
Lrhomboides00002959,98.729,4.19E-172,481,100,ENSSAUG00010017918,tacr3a,tachykinin receptor 3 [Source:NCBI gene;Acc:115579883]
Lrhomboides00002961,94.186,1.40E-110,313,100,ENSSAUG00010017912,scpp5,period circadian protein homolog 2-like [Source:NCBI gene;Acc:115589034]
