LrhomID,GOAccession,GOName,,,,,,,,,
Lrhomboides00006824,,,,,,,,,,,
Lrhomboides00006825,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006825,GO:0031267,small GTPase binding,,,,,,,,,
Lrhomboides00006825,GO:0032007,negative regulation of TOR signaling,,,,,,,,,
Lrhomboides00006836,GO:0001947,heart looping,,,,,,,,,
Lrhomboides00006836,GO:0008083,growth factor activity,,,,,,,,,
Lrhomboides00006836,GO:0009798,axis specification,,,,,,,,,
Lrhomboides00006836,GO:0030509,BMP signaling pathway,,,,,,,,,
Lrhomboides00006836,GO:0032991,protein-containing complex,,,,,,,,,
Lrhomboides00006836,GO:0038092,nodal signaling pathway,,,,,,,,,
Lrhomboides00006836,GO:0048666,neuron development,,,,,,,,,
Lrhomboides00006836,GO:0060027,convergent extension involved in gastrulation,,,,,,,,,
Lrhomboides00006836,GO:0060972,left/right pattern formation,,,,,,,,,
Lrhomboides00006836,GO:1900145,regulation of nodal signaling pathway involved in determination of left/right asymmetry,,,,,,,,,
Lrhomboides00006836,GO:1904086,regulation of epiboly involved in gastrulation with mouth forming second,,,,,,,,,
Lrhomboides00006837,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006838,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006839,GO:0005216,ion channel activity,,,,,,,,,
Lrhomboides00006839,GO:0006811,ion transport,,,,,,,,,
Lrhomboides00006839,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006839,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00006841,,,,,,,,,,,
Lrhomboides00006843,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006847,GO:0006879,cellular iron ion homeostasis,,,,,,,,,
Lrhomboides00006847,GO:0015232,heme transmembrane transporter activity,,,,,,,,,
Lrhomboides00006847,GO:0015886,heme transport,,,,,,,,,
Lrhomboides00006847,GO:0071391,cellular response to estrogen stimulus,,,,,,,,,
Lrhomboides00006855,,,,,,,,,,,
Lrhomboides00006858,GO:0001764,neuron migration,,,,,,,,,
Lrhomboides00006858,GO:0003700,DNA-binding transcription factor activity,,,,,,,,,
Lrhomboides00006858,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00006858,GO:0007400,neuroblast fate determination,,,,,,,,,
Lrhomboides00006858,GO:0007403,glial cell fate determination,,,,,,,,,
Lrhomboides00006858,GO:0014003,oligodendrocyte development,,,,,,,,,
Lrhomboides00006858,GO:0021514,ventral spinal cord interneuron differentiation,,,,,,,,,
Lrhomboides00006858,GO:0021520,spinal cord motor neuron cell fate specification,,,,,,,,,
Lrhomboides00006858,GO:0021522,spinal cord motor neuron differentiation,,,,,,,,,
Lrhomboides00006858,GO:0021742,abducens nucleus development,,,,,,,,,
Lrhomboides00006858,GO:0021754,facial nucleus development,,,,,,,,,
Lrhomboides00006858,GO:0021778,oligodendrocyte cell fate specification,,,,,,,,,
Lrhomboides00006858,GO:0030182,neuron differentiation,,,,,,,,,
Lrhomboides00006858,GO:0042552,myelination,,,,,,,,,
Lrhomboides00006858,GO:0046983,protein dimerization activity,,,,,,,,,
Lrhomboides00006858,GO:0048666,neuron development,,,,,,,,,
Lrhomboides00006858,GO:0048709,oligodendrocyte differentiation,,,,,,,,,
Lrhomboides00006858,GO:0050769,positive regulation of neurogenesis,,,,,,,,,
Lrhomboides00006858,GO:0071542,dopaminergic neuron differentiation,,,,,,,,,
Lrhomboides00006862,,,,,,,,,,,
Lrhomboides00006865,GO:0003676,nucleic acid binding,,,,,,,,,
Lrhomboides00006865,GO:0006913,nucleocytoplasmic transport,,,,,,,,,
Lrhomboides00006865,GO:0017056,structural constituent of nuclear pore,,,,,,,,,
Lrhomboides00006865,GO:0031965,nuclear membrane,,,,,,,,,
Lrhomboides00006866,GO:0003676,nucleic acid binding,,,,,,,,,
Lrhomboides00006866,GO:0003724,RNA helicase activity,,,,,,,,,
Lrhomboides00006866,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006866,GO:0030593,neutrophil chemotaxis,,,,,,,,,
Lrhomboides00006867,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006867,GO:0007601,visual perception,,,,,,,,,
Lrhomboides00006867,GO:0007634,optokinetic behavior,,,,,,,,,
Lrhomboides00006868,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00006868,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006868,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006868,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00006869,GO:0004930,G protein-coupled receptor activity,,,,,,,,,
Lrhomboides00006869,GO:0007186,G protein-coupled receptor signaling pathway,,,,,,,,,
Lrhomboides00006869,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00006871,GO:0008131,primary amine oxidase activity,,,,,,,,,
Lrhomboides00006871,GO:0016491,oxidoreductase activity,,,,,,,,,
Lrhomboides00006871,GO:0042402,cellular biogenic amine catabolic process,,,,,,,,,
Lrhomboides00006872,GO:0005615,extracellular space,,,,,,,,,
Lrhomboides00006872,GO:0016055,Wnt signaling pathway,,,,,,,,,
Lrhomboides00006872,GO:0061298,retina vasculature development in camera-type eye,,,,,,,,,
Lrhomboides00006873,,,,,,,,,,,
Lrhomboides00006874,,,,,,,,,,,
Lrhomboides00006875,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006875,GO:0007420,brain development,,,,,,,,,
Lrhomboides00006875,GO:0008354,germ cell migration,,,,,,,,,
Lrhomboides00006875,GO:0048701,embryonic cranial skeleton morphogenesis,,,,,,,,,
Lrhomboides00006875,GO:0048703,embryonic viscerocranium morphogenesis,,,,,,,,,
Lrhomboides00006875,GO:0060026,convergent extension,,,,,,,,,
Lrhomboides00006875,GO:0060027,convergent extension involved in gastrulation,,,,,,,,,
Lrhomboides00006875,GO:0060324,face development,,,,,,,,,
Lrhomboides00006876,,,,,,,,,,,
Lrhomboides00006876,GO:0001756,somitogenesis,,,,,,,,,
Lrhomboides00006877,GO:0000139,Golgi membrane,,,,,,,,,
Lrhomboides00006877,GO:0015165,pyrimidine nucleotide-sugar transmembrane transporter activity,,,,,,,,,
Lrhomboides00006877,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00006877,GO:0090481,pyrimidine nucleotide-sugar transmembrane transport,,,,,,,,,
Lrhomboides00006878,GO:0005507,copper ion binding,,,,,,,,,
Lrhomboides00006878,GO:0007599,hemostasis,,,,,,,,,
Lrhomboides00006878,GO:0009617,response to bacterium,,,,,,,,,
Lrhomboides00006879,GO:0051726,regulation of cell cycle,,,,,,,,,
Lrhomboides00006880,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006880,GO:0016887,ATP hydrolysis activity,,,,,,,,,
Lrhomboides00006881,GO:0003951,NAD+ kinase activity,,,,,,,,,
Lrhomboides00006881,GO:0004143,diacylglycerol kinase activity,,,,,,,,,
Lrhomboides00006881,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006881,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006881,GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,,,,,,,,,
Lrhomboides00006881,GO:0016301,kinase activity,,,,,,,,,
Lrhomboides00006882,,,,,,,,,,,
Lrhomboides00006883,GO:0005164,tumor necrosis factor receptor binding,,,,,,,,,
Lrhomboides00006883,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006883,GO:0006955,immune response,,,,,,,,,
Lrhomboides00006883,GO:0009612,response to mechanical stimulus,,,,,,,,,
Lrhomboides00006883,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006884,,,,,,,,,,,
Lrhomboides00006886,GO:0000287,magnesium ion binding,,,,,,,,,
Lrhomboides00006886,GO:0004450,isocitrate dehydrogenase (NADP+) activity,,,,,,,,,
Lrhomboides00006886,GO:0006102,isocitrate metabolic process,,,,,,,,,
Lrhomboides00006886,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",,,,,,,,,
Lrhomboides00006886,GO:0030097,hemopoiesis,,,,,,,,,
Lrhomboides00006886,GO:0051287,NAD binding,,,,,,,,,
Lrhomboides00006887,GO:0005216,ion channel activity,,,,,,,,,
Lrhomboides00006887,GO:0005249,voltage-gated potassium channel activity,,,,,,,,,
Lrhomboides00006887,GO:0005267,potassium channel activity,,,,,,,,,
Lrhomboides00006887,GO:0005887,integral component of plasma membrane,,,,,,,,,
Lrhomboides00006887,GO:0006811,ion transport,,,,,,,,,
Lrhomboides00006887,GO:0006813,potassium ion transport,,,,,,,,,
Lrhomboides00006887,GO:0015079,potassium ion transmembrane transporter activity,,,,,,,,,
Lrhomboides00006887,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006887,GO:0042802,identical protein binding,,,,,,,,,
Lrhomboides00006887,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00006887,GO:0106151,CNBH domain intrinsic ligand binding,,,,,,,,,
Lrhomboides00006887,GO:1990573,potassium ion import across plasma membrane,,,,,,,,,
Lrhomboides00006888,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006889,GO:0006397,mRNA processing,,,,,,,,,
Lrhomboides00006889,GO:0016787,hydrolase activity,,,,,,,,,
Lrhomboides00006889,GO:0016788,"hydrolase activity, acting on ester bonds",,,,,,,,,
Lrhomboides00006890,GO:0003924,GTPase activity,,,,,,,,,
Lrhomboides00006890,GO:0005525,GTP binding,,,,,,,,,
Lrhomboides00006891,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00006891,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006891,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00006891,GO:0006310,DNA recombination,,,,,,,,,
Lrhomboides00006891,GO:0008168,methyltransferase activity,,,,,,,,,
Lrhomboides00006891,GO:0032259,methylation,,,,,,,,,
Lrhomboides00006892,,,,,,,,,,,
Lrhomboides00006893,GO:0006457,protein folding,,,,,,,,,
Lrhomboides00006893,GO:0051082,unfolded protein binding,,,,,,,,,
Lrhomboides00006894,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00006894,GO:0006338,chromatin remodeling,,,,,,,,,
Lrhomboides00006894,GO:0055113,epiboly involved in gastrulation with mouth forming second,,,,,,,,,
Lrhomboides00006895,GO:0004435,phosphatidylinositol phospholipase C activity,,,,,,,,,
Lrhomboides00006895,GO:0006629,lipid metabolic process,,,,,,,,,
Lrhomboides00006895,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006895,GO:0008081,phosphoric diester hydrolase activity,,,,,,,,,
Lrhomboides00006895,GO:0032228,"regulation of synaptic transmission, GABAergic",,,,,,,,,
Lrhomboides00006895,GO:0035556,intracellular signal transduction,,,,,,,,,
Lrhomboides00006895,GO:0050811,GABA receptor binding,,,,,,,,,
Lrhomboides00006895,GO:0070679,"inositol 1,4,5 trisphosphate binding",,,,,,,,,
Lrhomboides00006896,,,,,,,,,,,
Lrhomboides00006897,,,,,,,,,,,
Lrhomboides00006898,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006898,GO:0006457,protein folding,,,,,,,,,
Lrhomboides00006898,GO:0016887,ATP hydrolysis activity,,,,,,,,,
Lrhomboides00006898,GO:0140662,ATP-dependent protein folding chaperone,,,,,,,,,
Lrhomboides00006899,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006899,GO:0005759,mitochondrial matrix,,,,,,,,,
Lrhomboides00006899,GO:0006457,protein folding,,,,,,,,,
Lrhomboides00006899,GO:0016887,ATP hydrolysis activity,,,,,,,,,
Lrhomboides00006899,GO:0031101,fin regeneration,,,,,,,,,
Lrhomboides00006899,GO:0042026,protein refolding,,,,,,,,,
Lrhomboides00006899,GO:0042246,tissue regeneration,,,,,,,,,
Lrhomboides00006900,,,,,,,,,,,
Lrhomboides00006901,,,,,,,,,,,
Lrhomboides00006901,GO:0000245,spliceosomal complex assembly,,,,,,,,,
Lrhomboides00006901,GO:0003729,mRNA binding,,,,,,,,,
Lrhomboides00006901,GO:0014032,neural crest cell development,,,,,,,,,
Lrhomboides00006901,GO:0030318,melanocyte differentiation,,,,,,,,,
Lrhomboides00006901,GO:0042981,regulation of apoptotic process,,,,,,,,,
Lrhomboides00006901,GO:0060216,definitive hemopoiesis,,,,,,,,,
Lrhomboides00006901,GO:0060218,hematopoietic stem cell differentiation,,,,,,,,,
Lrhomboides00006901,GO:0061515,myeloid cell development,,,,,,,,,
Lrhomboides00006902,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006903,GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,,,,,,,,,
Lrhomboides00006903,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006903,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006903,GO:0016307,phosphatidylinositol phosphate kinase activity,,,,,,,,,
Lrhomboides00006903,GO:0016887,ATP hydrolysis activity,,,,,,,,,
Lrhomboides00006903,GO:0035556,intracellular signal transduction,,,,,,,,,
Lrhomboides00006903,GO:0046488,phosphatidylinositol metabolic process,,,,,,,,,
Lrhomboides00006903,GO:0046872,metal ion binding,,,,,,,,,
Lrhomboides00006903,GO:0048471,perinuclear region of cytoplasm,,,,,,,,,
Lrhomboides00006905,,,,,,,,,,,
Lrhomboides00006907,,,,,,,,,,,
Lrhomboides00006908,,,,,,,,,,,
Lrhomboides00006912,GO:0003951,NAD+ kinase activity,,,,,,,,,
Lrhomboides00006912,GO:0004143,diacylglycerol kinase activity,,,,,,,,,
Lrhomboides00006912,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00006912,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006912,GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,,,,,,,,,
Lrhomboides00006912,GO:0016301,kinase activity,,,,,,,,,
Lrhomboides00006913,GO:0003700,DNA-binding transcription factor activity,,,,,,,,,
Lrhomboides00006913,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00006913,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00006913,GO:0008285,negative regulation of cell population proliferation,,,,,,,,,
Lrhomboides00006913,GO:0035108,limb morphogenesis,,,,,,,,,
Lrhomboides00006913,GO:0035778,pronephric nephron tubule epithelial cell differentiation,,,,,,,,,
Lrhomboides00006913,GO:0043565,sequence-specific DNA binding,,,,,,,,,
Lrhomboides00006913,GO:0060217,hemangioblast cell differentiation,,,,,,,,,
Lrhomboides00006917,,,,,,,,,,,
Lrhomboides00006919,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006920,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006924,,,,,,,,,,,
Lrhomboides00006927,GO:0003677,DNA binding,,,,,,,,,
Lrhomboides00006930,,,,,,,,,,,
Lrhomboides00006935,GO:0007519,skeletal muscle tissue development,,,,,,,,,
Lrhomboides00006935,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00006935,GO:0048738,cardiac muscle tissue development,,,,,,,,,
Lrhomboides00006936,GO:0032559,adenyl ribonucleotide binding,,,,,,,,,
Lrhomboides00006936,GO:0071900,regulation of protein serine/threonine kinase activity,,,,,,,,,
Lrhomboides00006938,GO:0006464,cellular protein modification process,,,,,,,,,
Lrhomboides00006938,GO:0018095,protein polyglutamylation,,,,,,,,,
Lrhomboides00006940,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006940,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00006940,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00006940,GO:0140359,ABC-type transporter activity,,,,,,,,,
Lrhomboides00006941,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00006941,GO:0005085,guanyl-nucleotide exchange factor activity,,,,,,,,,
Lrhomboides00006941,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006941,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006941,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00006941,GO:0007411,axon guidance,,,,,,,,,
Lrhomboides00006941,GO:0007417,central nervous system development,,,,,,,,,
Lrhomboides00006941,GO:0030097,hemopoiesis,,,,,,,,,
Lrhomboides00006942,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00006942,GO:0005085,guanyl-nucleotide exchange factor activity,,,,,,,,,
Lrhomboides00006942,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006942,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006942,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00006942,GO:0007411,axon guidance,,,,,,,,,
Lrhomboides00006942,GO:0007417,central nervous system development,,,,,,,,,
Lrhomboides00006942,GO:0030097,hemopoiesis,,,,,,,,,
Lrhomboides00006943,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006943,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00006943,GO:0006805,xenobiotic metabolic process,,,,,,,,,
Lrhomboides00006943,GO:0009410,response to xenobiotic stimulus,,,,,,,,,
Lrhomboides00006943,GO:0046983,protein dimerization activity,,,,,,,,,
Lrhomboides00006944,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006944,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00006944,GO:0006805,xenobiotic metabolic process,,,,,,,,,
Lrhomboides00006944,GO:0009410,response to xenobiotic stimulus,,,,,,,,,
Lrhomboides00006944,GO:0046983,protein dimerization activity,,,,,,,,,
Lrhomboides00006945,GO:0005747,mitochondrial respiratory chain complex I,,,,,,,,,
Lrhomboides00006945,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",,,,,,,,,
Lrhomboides00006946,,,,,,,,,,,
Lrhomboides00006947,GO:0003950,NAD+ ADP-ribosyltransferase activity,,,,,,,,,
Lrhomboides00006947,GO:0006471,protein ADP-ribosylation,,,,,,,,,
Lrhomboides00006948,,,,,,,,,,,
Lrhomboides00006949,,,,,,,,,,,
Lrhomboides00006950,,,,,,,,,,,
Lrhomboides00006951,,,,,,,,,,,
Lrhomboides00006952,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006952,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00006953,GO:0004571,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",,,,,,,,,
Lrhomboides00006953,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00006953,GO:0005975,carbohydrate metabolic process,,,,,,,,,
Lrhomboides00006953,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006954,GO:0004571,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",,,,,,,,,
Lrhomboides00006954,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00006954,GO:0005975,carbohydrate metabolic process,,,,,,,,,
Lrhomboides00006954,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006955,GO:1990817,RNA adenylyltransferase activity,,,,,,,,,
Lrhomboides00006956,,,,,,,,,,,
Lrhomboides00006957,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006958,GO:0003700,DNA-binding transcription factor activity,,,,,,,,,
Lrhomboides00006958,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00006958,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00006959,GO:0000166,nucleotide binding,,,,,,,,,
Lrhomboides00006959,GO:0002040,sprouting angiogenesis,,,,,,,,,
Lrhomboides00006959,GO:0004812,aminoacyl-tRNA ligase activity,,,,,,,,,
Lrhomboides00006959,GO:0004830,tryptophan-tRNA ligase activity,,,,,,,,,
Lrhomboides00006959,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006959,GO:0006418,tRNA aminoacylation for protein translation,,,,,,,,,
Lrhomboides00006959,GO:0006436,tryptophanyl-tRNA aminoacylation,,,,,,,,,
Lrhomboides00006960,GO:0003824,catalytic activity,,,,,,,,,
Lrhomboides00006960,GO:0010181,FMN binding,,,,,,,,,
Lrhomboides00006960,GO:0016491,oxidoreductase activity,,,,,,,,,
Lrhomboides00006961,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006962,GO:0003854,3-beta-hydroxy-delta5-steroid dehydrogenase activity,,,,,,,,,
Lrhomboides00006962,GO:0006694,steroid biosynthetic process,,,,,,,,,
Lrhomboides00006962,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",,,,,,,,,
Lrhomboides00006963,GO:0006629,lipid metabolic process,,,,,,,,,
Lrhomboides00006963,GO:0016298,lipase activity,,,,,,,,,
Lrhomboides00006963,GO:0052689,carboxylic ester hydrolase activity,,,,,,,,,
Lrhomboides00006964,GO:0001947,heart looping,,,,,,,,,
Lrhomboides00006964,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006964,GO:0051146,striated muscle cell differentiation,,,,,,,,,
Lrhomboides00006964,GO:0061337,cardiac conduction,,,,,,,,,
Lrhomboides00006966,GO:0005216,ion channel activity,,,,,,,,,
Lrhomboides00006966,GO:0006811,ion transport,,,,,,,,,
Lrhomboides00006966,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006966,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00006967,GO:0000940,outer kinetochore,,,,,,,,,
Lrhomboides00006967,GO:0007059,chromosome segregation,,,,,,,,,
Lrhomboides00006968,,,,,,,,,,,
Lrhomboides00006969,GO:0003139,secondary heart field specification,,,,,,,,,
Lrhomboides00006969,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00006969,GO:0004674,protein serine/threonine kinase activity,,,,,,,,,
Lrhomboides00006969,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006969,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006969,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00006969,GO:0030509,BMP signaling pathway,,,,,,,,,
Lrhomboides00006969,GO:0060027,convergent extension involved in gastrulation,,,,,,,,,
Lrhomboides00006970,GO:0003676,nucleic acid binding,,,,,,,,,
Lrhomboides00006970,GO:0005049,nuclear export signal receptor activity,,,,,,,,,
Lrhomboides00006970,GO:0008168,methyltransferase activity,,,,,,,,,
Lrhomboides00006970,GO:0016279,protein-lysine N-methyltransferase activity,,,,,,,,,
Lrhomboides00006970,GO:0032259,methylation,,,,,,,,,
Lrhomboides00006970,GO:0051169,nuclear transport,,,,,,,,,
Lrhomboides00006971,GO:0003676,nucleic acid binding,,,,,,,,,
Lrhomboides00006971,GO:0005049,nuclear export signal receptor activity,,,,,,,,,
Lrhomboides00006971,GO:0008168,methyltransferase activity,,,,,,,,,
Lrhomboides00006971,GO:0016279,protein-lysine N-methyltransferase activity,,,,,,,,,
Lrhomboides00006971,GO:0032259,methylation,,,,,,,,,
Lrhomboides00006971,GO:0051169,nuclear transport,,,,,,,,,
Lrhomboides00006972,GO:0005125,cytokine activity,,,,,,,,,
Lrhomboides00006972,GO:0005576,extracellular region,,,,,,,,,
Lrhomboides00006972,GO:0006954,inflammatory response,,,,,,,,,
Lrhomboides00006972,GO:0071222,cellular response to lipopolysaccharide,,,,,,,,,
Lrhomboides00006973,GO:0000132,establishment of mitotic spindle orientation,,,,,,,,,
Lrhomboides00006973,GO:0002244,hematopoietic progenitor cell differentiation,,,,,,,,,
Lrhomboides00006973,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,,,,,,,,,
Lrhomboides00006973,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006973,GO:0005929,cilium,,,,,,,,,
Lrhomboides00006973,GO:0005930,axoneme,,,,,,,,,
Lrhomboides00006973,GO:0007219,Notch signaling pathway,,,,,,,,,
Lrhomboides00006973,GO:0007368,determination of left/right symmetry,,,,,,,,,
Lrhomboides00006973,GO:0007369,gastrulation,,,,,,,,,
Lrhomboides00006973,GO:0036064,ciliary basal body,,,,,,,,,
Lrhomboides00006973,GO:0042073,intraciliary transport,,,,,,,,,
Lrhomboides00006973,GO:0042462,eye photoreceptor cell development,,,,,,,,,
Lrhomboides00006973,GO:0045494,photoreceptor cell maintenance,,,,,,,,,
Lrhomboides00006973,GO:0045880,positive regulation of smoothened signaling pathway,,,,,,,,,
Lrhomboides00006973,GO:0060122,inner ear receptor cell stereocilium organization,,,,,,,,,
Lrhomboides00006973,GO:0060271,cilium assembly,,,,,,,,,
Lrhomboides00006973,GO:0060785,regulation of apoptosis involved in tissue homeostasis,,,,,,,,,
Lrhomboides00006973,GO:0071482,cellular response to light stimulus,,,,,,,,,
Lrhomboides00006973,GO:0072019,proximal convoluted tubule development,,,,,,,,,
Lrhomboides00006973,GO:0090660,cerebrospinal fluid circulation,,,,,,,,,
Lrhomboides00006973,GO:1905515,non-motile cilium assembly,,,,,,,,,
Lrhomboides00006974,GO:0006631,fatty acid metabolic process,,,,,,,,,
Lrhomboides00006974,GO:0016491,oxidoreductase activity,,,,,,,,,
Lrhomboides00006974,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",,,,,,,,,
Lrhomboides00006974,GO:0070403,NAD+ binding,,,,,,,,,
Lrhomboides00006976,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00006977,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006978,,,,,,,,,,,
Lrhomboides00006978,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00006979,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006979,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00006979,GO:0140658,ATP-dependent chromatin remodeler activity,,,,,,,,,
Lrhomboides00006980,GO:0005814,centriole,,,,,,,,,
Lrhomboides00006980,GO:0015631,tubulin binding,,,,,,,,,
Lrhomboides00006980,GO:0019904,protein domain specific binding,,,,,,,,,
Lrhomboides00006980,GO:0046599,regulation of centriole replication,,,,,,,,,
Lrhomboides00006980,GO:0051301,cell division,,,,,,,,,
Lrhomboides00006981,GO:0005814,centriole,,,,,,,,,
Lrhomboides00006981,GO:0015631,tubulin binding,,,,,,,,,
Lrhomboides00006981,GO:0019904,protein domain specific binding,,,,,,,,,
Lrhomboides00006981,GO:0046599,regulation of centriole replication,,,,,,,,,
Lrhomboides00006981,GO:0051301,cell division,,,,,,,,,
Lrhomboides00006982,,,,,,,,,,,
Lrhomboides00006983,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006984,GO:0003779,actin binding,,,,,,,,,
Lrhomboides00006984,GO:0005856,cytoskeleton,,,,,,,,,
Lrhomboides00006984,GO:0008092,cytoskeletal protein binding,,,,,,,,,
Lrhomboides00006985,GO:0046872,metal ion binding,,,,,,,,,
Lrhomboides00006986,GO:0003953,NAD+ nucleosidase activity,,,,,,,,,
Lrhomboides00006986,GO:0004908,interleukin-1 receptor activity,,,,,,,,,
Lrhomboides00006986,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006987,GO:0003953,NAD+ nucleosidase activity,,,,,,,,,
Lrhomboides00006987,GO:0004908,interleukin-1 receptor activity,,,,,,,,,
Lrhomboides00006987,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006988,GO:0003953,NAD+ nucleosidase activity,,,,,,,,,
Lrhomboides00006988,GO:0004908,interleukin-1 receptor activity,,,,,,,,,
Lrhomboides00006988,GO:0007165,signal transduction,,,,,,,,,
Lrhomboides00006989,GO:0004908,interleukin-1 receptor activity,,,,,,,,,
Lrhomboides00006989,GO:0016020,membrane,,,,,,,,,
Lrhomboides00006989,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00006989,GO:0019221,cytokine-mediated signaling pathway,,,,,,,,,
Lrhomboides00006990,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00006990,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00006990,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00006991,GO:0004672,protein kinase activity,,,,,,,,,
